title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,vote_average,vote_count
Buried,LGF,1000000,18100000,2010,2,9/24/2010,Buried,"$1,987,650 ","$1,044,143 ","$21,270,290 ",102,"[18, 53, 9648]",26388,en,Buried,10.888,6.6,1487
Repo Men,Uni.,13800000,4600000,2010,13,3/19/2010,Repo Men,"$32,000,000 ","$13,942,007 ","$18,195,238 ",73,"[28, 878, 53, 80]",31867,en,Repo Men,12.437,6.2,976
The Nutcracker in 3D,Free,195000,16000000,2010,79,11/24/2010,The Nutcracker in 3D,"$90,000,000 ","$195,459 ","$20,466,016 ",278,"[10402, 14, 28, 10751]",49852,en,The Nutcracker in 3D,7.566,5.5,97
Somewhere,Focus,1800000,12200000,2010,42,12/22/2010,Somewhere,"$7,000,000 ","$1,785,645 ","$17,023,121 ",275,"[35, 18]",39210,en,Somewhere,7.596,6.1,376
Winter's Bone,RAtt.,6500000,7300000,2010,8,6/11/2010,Winter's Bone,"$2,000,000 ","$6,531,503 ","$16,131,551 ",141,[18],39013,en,Winter's Bone,9.824,6.9,931
Made in Dagenham,SPC,1100000,11300000,2010,14,11/19/2010,Made in Dagenham,"$8,000,000 ","$1,095,369 ","$15,644,196 ",293,"[35, 18, 36]",46138,en,Made in Dagenham,7.275,6.6,150
Blue Valentine,Wein.,9700000,2600000,2010,25,12/29/2010,Blue Valentine,"$1,000,000 ","$9,737,892 ","$16,566,240 ",178,"[18, 10749]",46705,en,Blue Valentine,8.994,6.9,1677
Blue Valentine,Wein.,9700000,2600000,2010,25,12/29/2010,Blue Valentine,"$1,000,000 ","$9,737,892 ","$16,566,240 ",2673,"[18, 10749]",46705,en,Blue Valentine,8.994,6.9,1677
Chloe,SPC,3100000,8600000,2010,97,3/26/2010,Chloe,"$13,000,000 ","$3,075,255 ","$11,831,131 ",186,"[18, 53, 9648]",28211,en,Chloe,8.807,5.9,940
The Warrior's Way,Rela.,5700000,5400000,2010,65,12/3/2010,The Warrior's Way,"$42,000,000 ","$5,666,340 ","$8,514,325 ",222,"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,6.1,203
Jonah Hex,WB,10500000,356000,2010,40,6/18/2010,Jonah Hex,"$47,000,000 ","$10,547,117 ","$11,022,696 ",53,"[28, 37, 18, 14, 53]",20533,en,Jonah Hex,13.467,4.6,708
Harry Brown,Gold.,1800000,8500000,2010,81,4/30/2010,Harry Brown,"$7,300,000 ","$1,818,681 ","$12,023,606 ",114,"[53, 80, 18, 28]",25941,en,Harry Brown,10.555,6.8,505
Cyrus,FoxS,7500000,2500000,2010,27,6/18/2010,Cyrus,"$7,000,000 ","$7,468,936 ","$10,062,896 ",261,"[35, 18, 10749]",39053,en,Cyrus,7.735,6,201
Conviction,FoxS,6800000,2900000,2010,28,10/15/2010,Conviction,"$12,500,000 ","$6,797,696 ","$11,826,980 ",280,[18],45094,en,Conviction,7.51,7.2,297
Never Let Me Go,FoxS,2400000,7000000,2010,29,9/15/2010,Never Let Me Go,"$15,000,000 ","$2,434,652 ","$11,173,718 ",134,"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,6.8,1294
MacGruber,Uni.,8500000,797000,2010,42,5/21/2010,MacGruber,"$10,000,000 ","$8,525,600 ","$8,629,895 ",268,"[28, 12, 35]",37931,en,MacGruber,7.666,5.3,270
Inside Job,SPC,4300000,3600000,2010,17,10/8/2010,Inside Job,"$2,000,000 ","$4,311,834 ","$7,799,257 ",152,[99],44639,en,Inside Job,9.514,7.8,466
The Joneses,RAtt.,1500000,5500000,2010,88,4/16/2010,The Joneses,"$10,000,000 ","$1,475,746 ","$3,541,565 ",349,"[35, 18]",41479,en,The Joneses,6.424,6.2,312
Animal Kingdom,SPC,1000000,5700000,2010,71,8/13/2010,Animal Kingdom,"$4,200,000 ","$1,044,039 ","$8,078,683 ",127,"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.188,6.8,399
It's Kind of a Funny Story,Focus,6400000,128000,2010,1,10/8/2010,It's Kind of a Funny Story,"$8,000,000 ","$6,363,628 ","$6,632,950 ",135,"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,7,1324
The Runaways,App.,3600000,1100000,2010,57,3/19/2010,The Runaways,"$9,500,000 ","$3,573,673 ","$5,278,632 ",226,"[18, 10402]",27586,en,The Runaways,8.19,6.4,448
Four Lions,Drft.,305000,4400000,2010,79,11/5/2010,Four Lions,"$3,750,000 ","$310,007 ","$2,436,111 ",138,"[35, 80, 18]",37495,en,Four Lions,9.968,7,621
Monsters,Magn.,237000,4000000,2010,50,10/29/2010,Monsters,"$500,000 ","$237,301 ","$5,639,730 ",129,"[18, 53, 878]",43933,en,Monsters,10.175,6.2,848
The Perfect Game,IW,1000000,2800000,2010,36,4/16/2010,The Perfect Game,"$12,500,000 ","$1,089,445 ","$3,931,367 ",451,"[18, 10751]",56601,en,The Perfect Game,4.958,6.3,44
Wild Target,Free,109000,3300000,2010,28,10/29/2010,Wild Target,"$8,000,000 ","$109,338 ","$5,314,194 ",164,"[28, 35]",44147,en,Wild Target,9.355,6.4,356
Kites,Relbig.,1600000,1300000,2010,66,5/21/2010,Kites,"$9,200,000 ","$1,685,269 ","$17,155,193 ",378,"[18, 28, 10749]",37737,hi,Kites,6.058,5.8,67
Letters to God,Viv.,2800000,60300,2010,25,4/9/2010,Letters to God,"$3,000,000 ","$2,848,587 ","$3,237,452 ",487,"[18, 10751]",35691,en,Letters to God,4.242,6.9,71
Flipped,WB,1800000,1200000,2010,22,8/6/2010,Flipped,"$14,000,000 ","$1,755,212 ","$4,289,993 ",145,"[10749, 18]",43949,en,Flipped,9.781,7.4,859
It's a Wonderful Afterlife,UTV,1100000,1300000,2010,36,10/8/2010,It's a Wonderful Afterlife,"$10,000,000 ",$0 ,"$1,642,939 ",1184,"[35, 10749]",42057,en,Hai Marjawaan!,1.332,4.6,12
Casino Jack,ATO,1000000,40700,2010,32,12/17/2010,Casino Jack,"$12,500,000 ","$2,039,869 ","$2,272,186 ",157,"[80, 35, 18]",45324,en,Casino Jack,9.432,6.1,149
Enter the Void,IFC,336000,418000,2010,77,9/24/2010,Enter the Void,"$16,000,000 ","$337,997 ","$1,467,278 ",150,"[14, 18]",34647,en,Enter the Void,9.563,7.3,773
All Good Things,Magn.,582000,62500,2010,96,12/3/2010,All Good Things,"$20,000,000 ","$582,024 ","$873,617 ",247,"[18, 9648, 53, 80, 10749]",46503,en,All Good Things,7.871,6,493
Chain Letter,NFC,139000,447000,2010,43,10/1/2010,Chain Letter,"$3,000,000 ","$205,842 ","$1,022,453 ",347,"[27, 53]",38033,en,Chain Letter,6.44,4.1,63
I Spit on Your Grave,Anch.,93100,480000,2010,37,10/8/2010,I Spit on Your Grave,"$1,750,000 ","$93,051 ","$1,278,471 ",60,"[53, 80, 27]",43947,en,I Spit on Your Grave,13.102,6.3,977
Tiny Furniture,IFC,392000,1200000,2010,18,11/12/2010,Tiny Furniture,"$50,000 ","$391,674 ","$424,149 ",326,"[10749, 35, 18]",47607,en,Tiny Furniture,6.695,5.9,82
The Tempest,Mira.,278000,68700,2010,1,12/10/2010,The Tempest,"$20,000,000 ","$277,943 ","$277,943 ",361,"[18, 14]",44638,en,The Tempest,6.3,5.8,52
The Good Heart,Magn.,20900,323000,2010,73,4/30/2010,The Good Heart,"$3,800,000 ","$20,930 ","$340,930 ",760,"[18, 35, 10749]",5178,en,The Good Heart,2.321,6.4,30
Welcome to the Rileys,Gold.,159000,158000,2010,12,10/29/2010,Welcome to the Rileys,"$10,000,000 ","$152,857 ","$355,919 ",217,[18],31007,en,Welcome to the Rileys,8.348,6.5,241
Freakonomics,Magn.,101000,16400,2010,80,10/1/2010,Freakonomics,"$2,900,000 ","$101,270 ","$172,867 ",401,[99],43942,en,Freakonomics,5.705,6.6,57
Pirates of the Caribbean: On Stranger Tides,BV,241100000,804600000,2011,2,5/20/2011,Pirates of the Caribbean: On Stranger Tides,"$410,600,000 ","$241,063,875 ","$1,045,663,875 ",2470,"[12, 28, 14]",1865,en,Pirates of the Caribbean: On Stranger Tides,30.579,6.4,8571
The Smurfs,Sony,142600000,421100000,2011,20,7/29/2011,The Smurfs,"$110,000,000 ","$142,614,158 ","$563,749,323 ",2495,"[16, 10751, 12, 35, 14]",41513,en,The Smurfs,16.533,5.6,2112
Puss in Boots,P/DW,149300000,405700000,2011,46,10/28/2011,Puss in Boots,"$130,000,000 ","$149,260,504 ","$554,987,477 ",2668,"[28, 12, 16, 10751, 14, 35]",417859,en,Puss in Boots,9.078,6.3,1422
Sherlock Holmes: A Game of Shadows,WB,186800000,358600000,2011,69,12/16/2011,Sherlock Holmes: A Game of Shadows,"$125,000,000 ","$186,848,418 ","$535,663,443 ",2484,"[12, 28, 80, 9648]",58574,en,Sherlock Holmes: A Game of Shadows,18.301,7.1,6380
Rio,Fox,143600000,341000000,2011,46,4/15/2011,Rio,"$90,000,000 ","$143,619,809 ","$487,519,809 ",2517,"[16, 12, 35, 10751]",46195,en,Rio,14.695,6.6,3730
Thor,Par.,181000000,268300000,2011,70,5/6/2011,Thor,"$150,000,000 ","$181,030,624 ","$449,326,618 ",2468,"[12, 14, 28]",10195,en,Thor,38.068,6.7,12764
Captain America: The First Avenger,Par.,176700000,193900000,2011,10,7/22/2011,Captain America: The First Avenger,"$140,000,000 ","$176,654,505 ","$370,569,776 ",2474,"[28, 12, 878]",1771,en,Captain America: The First Avenger,25.808,6.9,12810
X-Men: First Class,Fox,146400000,207200000,2011,42,6/3/2011,X-Men: First Class,"$160,000,000 ","$146,408,305 ","$355,408,305 ",3672,"[28, 878, 12]",49538,en,X-Men: First Class,1.447,7.2,8211
Alvin and the Chipmunks: Chipwrecked,Fox,133100000,209600000,2011,49,12/16/2011,Alvin and the Chipmunks: Chipwrecked,"$80,000,000 ","$133,107,389 ","$349,088,523 ",2550,"[35, 14, 10751, 10402, 16]",55301,en,Alvin and the Chipmunks: Chipwrecked,12.672,5.5,1055
Bridesmaids,Uni.,169100000,119300000,2011,85,5/13/2011,Bridesmaids,"$32,500,000 ","$169,211,718 ","$289,632,023 ",2643,"[35, 10749]",55721,en,Bridesmaids,9.805,6.5,2783
Immortals,Rela.,83500000,143400000,2011,45,11/11/2011,Immortals,"$75,000,000 ","$83,504,017 ","$211,562,435 ",2514,"[14, 28, 18]",37958,en,Immortals,14.774,5.8,1431
Green Lantern,WB,116600000,103300000,2011,62,6/17/2011,Green Lantern,"$200,000,000 ","$116,601,172 ","$219,535,492 ",2490,"[12, 28, 53, 878]",44912,en,Green Lantern,17.257,5.1,4290
The Help,BV,169700000,46900000,2011,63,8/10/2011,The Help,"$25,000,000 ","$169,705,587 ","$213,120,004 ",2552,[18],50014,en,The Help,12.598,8.1,3944
Horrible Bosses,WB (NL),117500000,92100000,2011,34,7/8/2011,Horrible Bosses,"$35,000,000 ","$117,538,559 ","$212,417,601 ",2528,"[35, 80]",51540,en,Horrible Bosses,14.058,6.5,3842
Paranormal Activity 3,Par.,104000000,103000000,2011,51,10/21/2011,Paranormal Activity 3,"$5,000,000 ","$104,028,807 ","$207,039,844 ",2646,[27],72571,en,Paranormal Activity 3,9.669,5.9,1197
